Location,Treatment,B,Rep.,ID,Code,esp
Aranjuez,Rainfed,1,1,1,Achille,148
Aranjuez,Rainfed,1,1,2,Amancio,150
Aranjuez,Rainfed,1,1,3,Antalis,142
Aranjuez,Rainfed,1,1,4,Anvergur,149
Aranjuez,Rainfed,1,1,5,Asif,138
Aranjuez,Rainfed,1,1,6,Athorix,143
Aranjuez,Rainfed,1,1,7,Aventadur,143
Aranjuez,Rainfed,1,1,8,Calero,144
Aranjuez,Rainfed,1,1,9,Canaillou (17215),141
Aranjuez,Rainfed,1,1,10,Casteldoux,149
Aranjuez,Rainfed,1,1,11,LG Davis,145
Aranjuez,Rainfed,1,1,12,Don Norman,145
Aranjuez,Rainfed,1,1,13,Egeo,144
Aranjuez,Rainfed,1,1,14,Eliav,139
Aranjuez,Rainfed,1,1,15,Emilio Lepido,140
Aranjuez,Rainfed,1,1,16,Fdn 15 Dw 872,149
Aranjuez,Rainfed,1,1,17,D. Ricardo,145
Aranjuez,Rainfed,1,1,18,Fuego,147
Aranjuez,Rainfed,1,1,19,D. Máximo,146
Aranjuez,Rainfed,1,1,20,Gvati,146
Aranjuez,Rainfed,1,1,21,Hard_Amber,147
Aranjuez,Rainfed,1,1,22,LG Hipnosis,143
Aranjuez,Rainfed,1,1,23,Leondur,144
Aranjuez,Rainfed,1,1,24,Massimo Meridio,147
Aranjuez,Rainfed,1,1,25,Monastir,142
Aranjuez,Rainfed,1,1,26,Nilo,144
Aranjuez,Rainfed,1,1,27,Nobilis,154
Aranjuez,Rainfed,1,1,28,Odiseo,149
Aranjuez,Rainfed,1,1,29,Don Sebastian,144
Aranjuez,Rainfed,1,1,30,Ottaviano,150
Aranjuez,Rainfed,1,1,31,Ovidio,144
Aranjuez,Rainfed,1,1,32,Semidou,141
Aranjuez,Rainfed,2,1,33,Trimulato,145
Aranjuez,Rainfed,2,1,34,RAGT Voilur,150
Aranjuez,Rainfed,2,1,35,Wintergold,156
Aranjuez,Rainfed,2,1,36,LG Ysatis,147
Aranjuez,Rainfed,2,1,37,Avispa,141
Aranjuez,Rainfed,2,1,38,Aneto,143
Aranjuez,Rainfed,2,1,39,Teodorico,142
Aranjuez,Rainfed,2,1,40,Duralis,142
Aranjuez,Rainfed,2,1,41,Makrodur,152
Aranjuez,Rainfed,2,1,42,Duramonte,154
Aranjuez,Rainfed,2,1,43,Don Cristobal,144
Aranjuez,Rainfed,2,1,44,Don Ortega,143
Aranjuez,Rainfed,2,1,45,Carpio,141
Aranjuez,Rainfed,2,1,46,Don Valentín,145
Aranjuez,Rainfed,2,1,47,D. Ferrán,150
Aranjuez,Rainfed,2,1,48,LG Frutis,145
Aranjuez,Rainfed,2,1,49,LG Indianapolis,151
Aranjuez,Rainfed,2,1,50,LG Avensis,145
Aranjuez,Rainfed,2,1,51,RGT Esplendor,142
Aranjuez,Rainfed,2,1,52,LG Confianza,141
Aranjuez,Rainfed,2,1,53,LG Origen,139
Aranjuez,Rainfed,2,1,54,LGDE15-1151-B ( LG Quovadis),143
Aranjuez,Rainfed,2,1,55,LG Anubis,143
Aranjuez,Rainfed,2,1,56,Omnis,145
Aranjuez,Rainfed,2,1,57,Aceres,142
Aranjuez,Rainfed,2,1,58,Coriolis,143
Aranjuez,Rainfed,2,1,59,RGT Reinur,142
Aranjuez,Rainfed,2,1,60,RGT Beticur,143
Aranjuez,Rainfed,2,1,61,RGT Fernandur,151
Aranjuez,Rainfed,2,1,62,RGT Tacodur,141
Aranjuez,Rainfed,2,1,63,RGT Rumbadur,146
