Date,Loc,Treatment,ETo (mm),Precipitation (mm),ETo_cumulative,prec_cumulative,Irrigation,water_input_cumulative
2024-03-18,Aranjuez,Irrigated,1.94,0,125.06,183.51,0,183.51
2024-04-22,Aranjuez,Irrigated,3.92,0,231.39,253.56,0,253.56
2024-04-25,Aranjuez,Irrigated,0,0,,,62,
2024-05-09,Aranjuez,Irrigated,0,0,,,93,
2024-05-14,Aranjuez,Irrigated,4.96,1.01,317.35,268.17,0,423.17
2024-05-16,Aranjuez,Irrigated,0,0,,,93,
2024-05-23,Aranjuez,Irrigated,0,0,,,93,
2024-05-30,Aranjuez,Irrigated,0,0,,,93,
2024-05-31,Aranjuez,Irrigated,5.85,0,402.35,272.02,0,706.02
2024-03-19,Valladolid,Irrigated,2.35,0,100.01,169.61,0,169.61
2024-04-17,Valladolid,Irrigated,3.43,0,185.61,216.54,0,216.54
2024-04-19,Valladolid,Irrigated,0,0,,,12,
2024-04-24,Valladolid,Irrigated,3.1,0,213,216.54,0,228.54
2024-05-06,Valladolid,Irrigated,0,0,,,12,
2024-05-10,Valladolid,Irrigated,0,0,,,12,
2024-05-15,Valladolid,Irrigated,3.72,0.25,284.8,238.79,0,274.79
2024-05-29,Valladolid,Irrigated,5.24,0,339.31,262.54,0,298.54
2024-06-06,Valladolid,Irrigated,0,0,,,12,
2024-06-12,Valladolid,Irrigated,5.12,0.04,409.65,273.7,0,321.7
2024-03-18,Aranjuez,Rainfed,1.94,0,125.06,183.51,0,183.51
2024-04-22,Aranjuez,Rainfed,3.92,0,231.39,253.56,0,253.56
2024-04-25,Aranjuez,Rainfed,0,0,,,0,
2024-05-09,Aranjuez,Rainfed,0,0,,,0,
2024-05-14,Aranjuez,Rainfed,4.96,1.01,317.35,268.17,0,268.17
2024-05-16,Aranjuez,Rainfed,0,0,,,0,
2024-05-23,Aranjuez,Rainfed,0,0,,,0,
2024-05-30,Aranjuez,Rainfed,0,0,,,0,
2024-05-31,Aranjuez,Rainfed,5.85,0,402.35,272.02,0,272.02
2024-03-19,Valladolid,Rainfed,2.35,0,100.01,169.61,0,169.61
2024-04-17,Valladolid,Rainfed,3.43,0,185.61,216.54,0,216.54
2024-04-19,Valladolid,Rainfed,0,0,,,0,
2024-04-24,Valladolid,Rainfed,3.1,0,213,216.54,0,216.54
2024-05-06,Valladolid,Rainfed,0,0,,,0,
2024-05-10,Valladolid,Rainfed,0,0,,,0,
2024-05-15,Valladolid,Rainfed,3.72,0.25,284.8,238.79,0,238.79
2024-05-29,Valladolid,Rainfed,5.24,0,339.31,262.54,0,262.54
2024-06-06,Valladolid,Rainfed,0,0,,,0,
2024-06-12,Valladolid,Rainfed,5.12,0.04,409.65,273.7,0,273.7
