IdProvincia,IdEstacion,Fecha,Año,Dia,Temp Media (ºC),Temp Max (ºC),Hora Temp Max,Temp Min (ºC),Hora Temp Min,Humedad Media (%),Humedad Max (%),Hora Hum Max,Humedad Min (%),Hora Hum Mín,Velviento (m/s),DirViento (º),VelVientoMax (m/s),Hora VelMax,Dir viento Vel Max (º),Radiación (MJ/m2),Precipitation (mm),P.Efect,ETo (mm)
47,101,2023-12-12,2023,346,10.74,13.66,12:30,8.96,24:00:00,93.48,98.25,18:00,86.12,12:30,3.02,235.12,4.47,15:00,256.64,2.48,4.02,1.04,0.65
47,101,2023-12-13,2023,347,6.9,10.05,14:30,3.84,24:00:00,79.51,94.06,00:30,55.19,14:30,2.73,229.34,4.09,12:30,203.6,8.14,0,0,0.99
47,101,2023-12-14,2023,348,3.99,9.55,15:10,-0.45,07:00,81.5,95.8,08:00,56.86,14:40,0.89,296.5,4.49,01:39,220.5,7.67,0,0,0.5
47,101,2023-12-15,2023,349,3.51,10.3,14:50,-1.52,07:50,88.4,97.8,08:30,71.2,12:30,0.83,305.2,3.89,16:09,323.6,6.3,0.2,0,0.45
47,101,2023-12-16,2023,350,2.8,9.15,15:20,-1.45,07:30,90.5,97.8,23:50,68.39,15:00,0.75,208.7,3.48,19:23,120.9,6.76,0.4,0,0.41
47,101,2023-12-17,2023,351,0.64,1.48,01:10,-0.59,10:10,98.6,99.1,10:20,97.8,00:00,0.8,344.3,2.93,09:36,0,1.89,0.2,0,0.31
47,101,2023-12-18,2023,352,-0.48,0.68,00:30,-1.44,09:00,99.34,99.62,19:30,98.8,01:00,0.73,341.84,1.25,06:00,1.98,1.72,0.2,0,0.3
47,101,2023-12-19,2023,353,-2.01,-1.25,15:30,-3.18,08:00,99.11,99.62,07:30,97.88,16:30,0.7,204.04,1.06,22:00,286.56,2.38,0,0,0.27
47,101,2023-12-20,2023,354,1.48,7.39,16:00,-1.76,00:30,95.99,99.29,24:00:00,82.4,16:00,0.58,209.02,1.18,15:30,270.34,6.2,0.9,0,0.3
47,101,2023-12-21,2023,355,0.97,7.83,15:30,-2.21,02:30,96.8,99.56,10:00,84.2,16:00,0.62,153.98,1.4,16:00,257.75,6.14,0.28,0,0.3
47,101,2023-12-22,2023,356,0.39,8.34,16:30,-2.61,08:30,98.26,100,13:00,89.2,16:30,0.84,357.77,1.59,13:00,336.3,5.2,1.2,0,0.31
47,101,2023-12-23,2023,357,1.41,8.08,16:30,-2.82,07:00,95.91,100,00:30,79.8,15:50,0.81,299.89,2.22,14:00,301,6.27,0.4,0,0.34
47,101,2023-12-24,2023,358,-0.36,1.14,15:00,-1.87,04:10,98.8,99.2,23:30,98,00:00,0.58,243.1,2.54,07:24,246.3,1.82,0.2,0,0.31
47,101,2023-12-25,2023,359,-1.15,0.21,15:10,-2.33,08:30,97.6,99.6,06:00,93.7,15:40,0.73,257.1,2.74,04:31,309.2,2.38,0,0,0.3
47,101,2023-12-26,2023,360,-1.25,3.24,16:00,-3.1,08:30,95.96,98.9,22:40,76.4,16:30,0.87,306.02,1.65,19:30,313,4.95,0,0,0.34
47,101,2023-12-27,2023,361,-1.34,0.78,16:00,-3.33,08:00,98.84,99.66,21:00,98.2,08:00,1.01,151.15,2.26,16:30,134.7,2.79,0.08,0,0.26
47,101,2023-12-28,2023,362,3.98,8.46,16:00,-0.1,00:30,96.15,99.72,02:00,87.83,12:30,0.62,151.75,1.31,13:00,125.52,2.96,0.12,0,0.39
47,101,2023-12-29,2023,363,6.96,8.48,15:30,5.49,07:00,98.64,99.62,22:30,95.78,11:30,0.67,160.69,1.5,10:00,177.22,2.11,1.25,0,0.4
47,101,2023-12-30,2023,364,7.2,9.86,15:00,5.12,01:30,97.8,99.81,10:30,88.9,15:00,1.67,199.89,3.33,23:30,224.29,3.7,0.88,0,0.44
47,101,2023-12-31,2023,365,6.56,9.58,14:00,1.93,24:00:00,84.95,94.2,23:50,60.31,16:00,2.95,203.6,4.84,11:30,194.3,6.18,0.86,0,0.97
47,101,2024-01-01,2024,1,3.49,9.38,15:00,-0.01,08:30,87.86,98.2,10:30,61.52,15:00,1.28,159.34,3.12,14:30,151.3,5.74,0.06,0,0.63
47,101,2024-01-02,2024,2,7.31,10.91,14:10,2.68,02:30,87.9,96.1,23:50,79.4,15:00,3.24,138.8,8.66,20:37,144.8,2.04,2.8,0,0.76
47,101,2024-01-03,2024,3,9.3,11.91,11:50,4.03,23:30,92.5,97.3,04:50,78.5,14:00,2.36,152.8,6.78,12:46,184.5,2.12,6.4,2.95,0.73
47,101,2024-01-04,2024,4,6.54,9.2,13:00,4.4,24:00:00,98.29,99.69,09:30,93.38,16:00,1.28,209.99,3.04,13:00,143.7,2.69,3.43,0.54,0.41
47,101,2024-01-05,2024,5,4.4,7.87,13:30,1.13,08:30,83.14,99.56,01:30,60.04,15:00,1.97,242.27,3.59,12:00,230.7,6.84,0.12,0,0.72
